id,env,ip_hash,browsers,node_type,cities,standardised_name,nb_of_households,nb_of_users,nb_of_vids
-6686978926617305038,Household,-393986996135581440,-,Household,xalapa-enriquez,-,0.0,2.0,0.0
-1701084414718080667,Household,-995211310879984817,-,Household,el arenal,-,0.0,13.0,0.0
-934955182621482426,Household,1539170080434599165,-,Household,coatzacoalcos,-,0.0,1.0,0.0
-7329718557761267083,Household,-5261984719885023619,-,Household,bellavista,-,0.0,3.0,0.0
9001314257957551242,Household,-808454027164920508,-,Household,isla mujeres,-,0.0,2.0,0.0
-5012979651439800313,Household,-8990307122490384052,-,Household,santiago de queretaro,-,0.0,1.0,0.0
-7284156801179521563,Household,3440729166969318988,-,Household,pena blanca,-,0.0,3.0,0.0
-3208719036377513100,Household,-1029980798699601326,-,Household,cuautlancingo,-,0.0,4.0,0.0
-3361710002573529310,Household,7436111133060702307,-,Household,mexico city,-,0.0,2.0,0.0
-3094382982084970463,Household,-2921839612257954750,-,Household,fresnillo,-,0.0,1.0,0.0
-4368665394761352105,Household,5849801758676815444,-,Household,la paz,-,0.0,3.0,0.0
-7558899766276875862,Household,-1952031524058416551,-,Household,villahermosa,-,0.0,19.0,0.0
3521697800593616690,Household,7747762854640660484,-,Household,cuautlancingo,-,0.0,2.0,0.0
5004970377324040166,Household,-5140601483476179007,-,Household,golfo de santa clara,-,0.0,1.0,0.0
-4002231396320780673,Household,4101002709094801703,-,Household,el palo verde,-,0.0,0.0,0.0
1303789532690975043,Household,-8984017871085360377,-,Household,heroica matamoros,-,0.0,2.0,0.0
4010282669458250185,Household,7635283421814976026,-,Household,lerma,-,0.0,8.0,0.0
1871408385666782320,Household,4197978207808592694,-,Household,arroyo vista hermosa,-,0.0,1.0,0.0
7446338768461920361,Household,-1127586651493432663,-,Household,tuxpanguillo,-,0.0,4.0,0.0
-8547535937377925723,Household,1640775909060255442,-,Household,merida,-,0.0,1.0,0.0
-3934761308185786475,Household,314027844968619838,-,Household,cancun,-,0.0,3.0,0.0
5829266356298456244,Household,-8067955746435009948,-,Household,huecorio,-,0.0,19.0,0.0
1044611874616191329,Household,-3674408863173570572,-,Household,salinas victoria,-,0.0,1.0,0.0
