time,source,target,relationship
2024-11-12 11:00:00+00:00,-9221478405793726098,XY3006ZkPmb7FJs4qTh1g82ZqaImy-mTV5_G3fNbHKBQL_XRk,Household-User
2024-11-14 11:00:00+00:00,-9218881854738663408,XY30063OCign1jJljJwfQuy-HarvK73FcADlNbMb2iq6LwEoo,Household-User
2024-11-12 21:00:00+00:00,-9216684404900938013,XY3006o8CMHEf9WotWPO7dgfJw711UC0Iug0BF1MwiBMakXN8,Household-User
2024-11-15 09:00:00+00:00,-9207823570219476323,XY3006M3B8d0kYwS9oSVBM5DpXbqjVSttskJOCmv18TPPrfLA,Household-User
2024-11-13 22:00:00+00:00,-9203649755589135702,XY30061BSLxJDTvX6QVfRoSKaWCaMKRd8pmQkCE9JFCQ8a7NA,Household-User
2024-11-13 22:00:00+00:00,-9203649755589135702,XY3006wldSX-GATC21CPypr2G95Cs-6UvORYSI0TA4hZyr9pA,Household-User
2024-11-14 02:00:00+00:00,-9201114536572080578,XY3006MUzhbY8e3GPDCQqlh1hvLafUYo3mTx_LnHYg2umZH7g,Household-User
2024-11-14 16:00:00+00:00,-9196769864097073830,XY3006imzH3DdBiuWXa0f8tsMTR0TNPVoCMeZtj5y5qca5iA8,Household-User
2024-11-14 09:00:00+00:00,-9194881696760906172,XY3006SOT5IC_L-ZFqD0VqIq5pIkWz-N2sKgQW8twhVwVnWPY,Household-User
2024-11-12 02:00:00+00:00,-9191532560123525922,XY3006B_jXNl01D6vdfzt1vakCX2YY0_jMxORN4W97tgw6HGM,Household-User
2024-11-12 02:00:00+00:00,-9191532560123525922,Xi3006Q8dZuQVlkt82-csdOJl9POanfBwLMAb5x2jUR-nKlICH61e8lkg_PIF4Em9Vg1sV,Household-User
2024-11-12 04:00:00+00:00,-9187786773710912931,XY3006yQfCnxOAPpH8c9OxL7evAGB_Z03Tt5XvY7HWFjU7nIU,Household-User
2024-11-13 01:00:00+00:00,-9179735390945067573,XY3006We4mviVSVmxpgR1qplAiUTe7jamD7SDAC_K2-D8HeDA,Household-User
2024-11-12 05:00:00+00:00,-9172545342398137889,XY30061SIyx-u9wyyUV7DrYGNEjScTUTIEU38GFU5Tci8n4aE,Household-User
2024-11-14 19:00:00+00:00,-9172501912263846880,XY30066vdU2DmjOnw9E-sss-IgkcvN4YLGw7JkWJ2B9VRwTrw,Household-User
