id,env,ip_hash,browsers,node_type,cities,standardised_name,vid_nb_of_users,vid_nb_of_housheolds,user_nb_of_vids,user_nb_of_housheolds,household_nb_of_vids,household_nb_of_users
-9221478405793726098,Household,7576186326515194472,-,Household,marion,-,,,,,1.0,1.0
-9218881854738663408,Household,-1102688159138406450,-,Household,shippensburg,-,,,,,4.0,1.0
-9216684404900938013,Household,-8952860442879695710,-,Household,garland,-,,,,,2.0,1.0
-9207823570219476323,Household,-625455223017529243,-,Household,eufaula,-,,,,,4.0,1.0
-9203649755589135702,Household,4965978268394038374,-,Household,louisville,-,,,,,4.0,2.0
-9201114536572080578,Household,-4645868462117318006,-,Household,elmore city,-,,,,,4.0,1.0
-9196769864097073830,Household,1850245228995356725,-,Household,matawan,-,,,,,2.0,1.0
-9194881696760906172,Household,-677460339354917515,-,Household,ankeny,-,,,,,28.0,1.0
-9191532560123525922,Household,-5606231609836038590,-,Household,everett,-,,,,,7.0,2.0
-9187786773710912931,Household,-8327723054482635710,-,Household,melbourne,-,,,,,4.0,1.0
-9179735390945067573,Household,-6769029106907943185,-,Household,stamford,-,,,,,4.0,1.0
-9172545342398137889,Household,5885785817435286242,-,Household,pullman,-,,,,,10.0,1.0
-9172501912263846880,Household,-5210765210277349461,-,Household,owings mills,-,,,,,2.0,2.0
-9163723033358143505,Household,-3551504308414790920,-,Household,porter ranch,-,,,,,33.0,2.0
-9160678885504967356,Household,-6009219536724874595,-,Household,terrebonne,-,,,,,3.0,1.0
-9158206394367700801,Household,-434940042626585832,-,Household,rutland,-,,,,,2.0,1.0
-9157281597183161928,Household,-7702364662246676888,-,Household,clarissa,-,,,,,1.0,1.0
-9153885754386631384,Household,1774869342849456934,-,Household,egg harbor township,-,,,,,4.0,2.0
-9151198440401809311,Household,1891321766735480008,-,Household,peoria,-,,,,,3.0,3.0
-9146547462310041679,Household,5575959590646668686,-,Household,spokane,-,,,,,2.0,1.0
-9144420090668583809,Household,1540588362577067128,-,Household,ogden,-,,,,,1.0,1.0
-9139434070188973395,Household,-5264185913066364427,-,Household,ocoee,-,,,,,1.0,1.0
-9138675175431893419,Household,-5995783914094239631,-,Household,three rivers,-,,,,,1.0,2.0
-9130674969507975334,Household,5800911613731458465,-,Household,green bay,-,,,,,1.0,1.0
-9125682562061199564,Household,-2434410245545198719,-,Household,el sobrante,-,,,,,2.0,1.0
-9117935054889005763,Household,1051553470821213649,-,Household,bradenton,-,,,,,60.0,1.0
-9117506235692311675,Household,-6754338996320966674,-,Household,daytona beach,-,,,,,3.0,1.0
-9113108943914554920,Household,-4561487257628087125,-,Household,dallas,-,,,,,4.0,1.0
-9106746688173585911,Household,2033465297832018320,-,Household,mapleton,-,,,,,2.0,1.0
-9100690785347613198,Household,-3294521886860226242,-,Household,aldie,-,,,,,2.0,1.0
