time,source,target,relationship
2024-11-14 08:00:00+00:00,5515638021977188587,ID5*HKfXz0C8F8DVQQJCSW1ArVVnc9SbP4ZHOegweXweI1XYp8hMi5A4ntX2pKBOB0rg,Household-User
2024-11-14 08:00:00+00:00,5515638021977188587,ID5*JEZ1IMzCQt-UsPmyHwPSZzAZoLK3JcxZusPDtAg-wMPYVOZDjsrF39Ll2ckiVhd6,Household-User
2024-11-14 08:00:00+00:00,5515638021977188587,ID5*4rkKJgo9PdlST4a02fytYfbm37Rx2rNffDy8ss7Bv8XXqLQuFQkqFhop_yA53RqT,Household-User
2024-11-14 08:00:00+00:00,5515638021977188587,ID5*ViQ4N76gD8jm0rSlbWGfcEJ77aXFR4FOyKGOo3pcjdTYp6HonFgio3hsbma63hi2,Household-User
2024-11-14 08:00:00+00:00,-9188705291234081385,ID5*tu2rL7-RLh16MHR66lbpX8p-H20EfMYwcaMaalijAe_YVI2zbsrT8JwwBQh89Hm7,Household-User
2024-11-14 08:00:00+00:00,-9188705291234081385,ID5*-c_DsPCzRoI1EhzlpXSBwIVcd_JLXq6vPoFy9ReBaXDYVJ6Zj68hOgBKKB7_lXED,Household-User
2024-11-14 08:00:00+00:00,-9188705291234081385,ID5*6fxgzuCA5fwlIb-btUcivpVv1IxbbQ3RLrLRiweyyg7X_-BAqZZ7f5j8me5soNh6,Household-User
2024-11-14 08:00:00+00:00,-9188705291234081385,ID5*m8ZP_5K6ys1XG5Cqx30Nj-dV-70pVyLgXIj-unWI5T_X_3fma5Cal1lfqRnd7JXi,Household-User
2024-11-14 08:00:00+00:00,-9188705291234081385,ID5*7xTTleZoVqcjyQzAs6-R5ZOHZ9ddhb6KKFpi0AFaeVXYp-pxA2NJQJD9CJpt5ndC,Household-User
2024-11-14 08:00:00+00:00,-9188705291234081385,ID5*AECO1wk8C-XMnVGCXPvMp3zTOpWy0ePIxw4_ku4OJBfYp0ptBFu_TtwuqHLSd42y,Household-User
2024-11-13 09:00:00+00:00,-4583678983605747377,ID5*wCE5HUs8HpS2x70WpSefCfkXev8WaB7p_mzGxvFbP93YVCJkh54aYZPDntfY4TdX,Household-User
2024-11-13 09:00:00+00:00,-4583678983605747377,ID5*JDk_g2dbfqipFOjrR6EUJE1GRkq9tqlEF1gPLFnOVhjYVHQV_O2r26bBkJqavxxJ,Household-User
2024-11-14 11:00:00+00:00,-4975110651313708086,ID5*FC73_9_mGkff0y9RYvYF9Ja6802tv6jMjxMM4qOmMJ7SDMaNEzs0fhFPiFoPNdM6,Household-User
